No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Thumbnail_URL
1,"Clay Chalkville Pinson vs Thompson Alabaster",Football,"Alabama",08/27/2026,07:00 PM,"The Thompson Alabaster varsity football team has an away non-conference game @ Clay Chalkville Pinson (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/clay-chalkville-pinson-vs-thompson-alabaster/8-27-2026/?c=7a10d443-387c-4437-b97c-0b85afe2484a","https://www.maxpreps.com/al/football/game/clay-chalkville-pinson-vs-thompson-alabaster/8-27-2026/?c=7a10d443-387c-4437-b97c-0b85afe2484a","https://image.maxpreps.io/postprocessor_v2/7a10d443387c4437b97c0b85/ppv2_1787620544071_0.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
2,"Geneva County Hartford vs Kinston",Football,"Alabama",08/27/2026,07:00 PM,"The Kinston varsity football team has an away non-conference game @ Geneva County Hartford (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/geneva-county-hartford-vs-kinston/8-27-2026/?c=bdb125c8-6a4c-4e4b-88c1-dd594e13e290","https://www.maxpreps.com/al/football/game/geneva-county-hartford-vs-kinston/8-27-2026/?c=bdb125c8-6a4c-4e4b-88c1-dd594e13e290","https://image.maxpreps.io/postprocessor_v2/bdb125c86a4c4e4b88c1dd59/ppv2_1787620544071_1.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
3,"Pickens Academy Carrollton vs Pickens County Reform",Football,"Alabama",08/27/2026,07:00 PM,"The Pickens County Reform varsity football team has an away non-conference game @ Pickens Academy Carrollton (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/pickens-academy-carrollton-vs-pickens-county-reform/8-27-2026/?c=8c0de847-c1d4-4aa7-b73e-a738074085da","https://www.maxpreps.com/al/football/game/pickens-academy-carrollton-vs-pickens-county-reform/8-27-2026/?c=8c0de847-c1d4-4aa7-b73e-a738074085da","https://image.maxpreps.io/postprocessor_v2/8c0de847c1d44aa7b73ea738/ppv2_1787620544071_2.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
4,"East Central Homeschool Patriots Pinson Al vs Varsity Opponent Intl",Football,"Alabama",08/27/2026,07:00 PM,"The Varsity Opponent Intl varsity football team has an away non-conference game @ East Central Homeschool Patriots Pinson Al (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/east-central-homeschool-patriots-pinson-al-vs-varsity-opponent-intl/8-27-2026/?c=38996f42-48dc-4964-b142-d77dc5ab659a","https://www.maxpreps.com/al/football/game/east-central-homeschool-patriots-pinson-al-vs-varsity-opponent-intl/8-27-2026/?c=38996f42-48dc-4964-b142-d77dc5ab659a","https://image.maxpreps.io/postprocessor_v2/38996f4248dc4964b142d77d/ppv2_1787620544071_3.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
5,"Fairfield vs Jackson Olin Birmingham",Football,"Alabama",08/27/2026,07:00 PM,"The Jackson Olin Birmingham varsity football team has an away non-conference game @ Fairfield (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/fairfield-vs-jackson-olin-birmingham/8-27-2026/?c=cb5a2550-fe4c-46b9-bf35-1fc9bfcfb814","https://www.maxpreps.com/al/football/game/fairfield-vs-jackson-olin-birmingham/8-27-2026/?c=cb5a2550-fe4c-46b9-bf35-1fc9bfcfb814","https://image.maxpreps.io/postprocessor_v2/cb5a2550fe4c46b9bf351fc9/ppv2_1787620544071_4.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
6,"Percy Julian Montgomery vs Smiths Station",Football,"Alabama",08/27/2026,07:00 PM,"The Smiths Station varsity football team has an away non-conference game @ Percy Julian Montgomery (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/percy-julian-montgomery-vs-smiths-station/8-27-2026/?c=809a2b43-1a78-434d-838a-0ff1d14d7794","https://www.maxpreps.com/al/football/game/percy-julian-montgomery-vs-smiths-station/8-27-2026/?c=809a2b43-1a78-434d-838a-0ff1d14d7794","https://image.maxpreps.io/postprocessor_v2/809a2b431a78434d838a0ff1/ppv2_1787620544071_5.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
7,"Rogers Florence vs St John Paul Ii Huntsville",Football,"Alabama",08/27/2026,07:00 PM,"The St John Paul Ii Huntsville varsity football team has an away non-conference game @ Rogers Florence (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/rogers-florence-vs-st-john-paul-ii-huntsville/8-27-2026/?c=d5e8996a-0a96-4982-94ee-d16922973ffa","https://www.maxpreps.com/al/football/game/rogers-florence-vs-st-john-paul-ii-huntsville/8-27-2026/?c=d5e8996a-0a96-4982-94ee-d16922973ffa","https://image.maxpreps.io/postprocessor_v2/d5e8996a0a96498294eed169/ppv2_1787620544071_6.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
8,"Dale County Midland City vs Houston Academy Dothan",Football,"Alabama",08/27/2026,07:00 PM,"The Houston Academy Dothan varsity football team has an away non-conference game @ Dale County Midland City (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/dale-county-midland-city-vs-houston-academy-dothan/8-27-2026/?c=5326bec4-76c6-49d2-8859-ece32b0811c0","https://www.maxpreps.com/al/football/game/dale-county-midland-city-vs-houston-academy-dothan/8-27-2026/?c=5326bec4-76c6-49d2-8859-ece32b0811c0","https://image.maxpreps.io/postprocessor_v2/5326bec476c649d28859ece3/ppv2_1787620544071_7.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
9,"Hokes Bluff vs Southside Gadsden",Football,"Alabama",08/27/2026,07:00 PM,"The Southside Gadsden varsity football team has an away non-conference game @ Hokes Bluff (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/hokes-bluff-vs-southside-gadsden/8-27-2026/?c=b5d75c8f-dd3f-4b61-beca-128ece2a3a2a","https://www.maxpreps.com/al/football/game/hokes-bluff-vs-southside-gadsden/8-27-2026/?c=b5d75c8f-dd3f-4b61-beca-128ece2a3a2a","https://image.maxpreps.io/postprocessor_v2/b5d75c8fdd3f4b61beca128e/ppv2_1787620544071_8.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
10,"Brantley vs Luverne",Football,"Alabama",08/27/2026,07:00 PM,"The Luverne varsity football team has an away non-conference game @ Brantley (Alabama) on Thursday, August 27 @ 7p.","/al/football/game/brantley-vs-luverne/8-27-2026/?c=7eaaea13-9ae0-4b8b-97b9-cf2dfc786dd1","https://www.maxpreps.com/al/football/game/brantley-vs-luverne/8-27-2026/?c=7eaaea13-9ae0-4b8b-97b9-cf2dfc786dd1","https://image.maxpreps.io/postprocessor_v2/7eaaea139ae04b8b97b9cf2d/ppv2_1787620544071_9.jpg?img-domain=delivery.vod&auto=webp&format=pjpg&width=768&height=432&quality=70"
