No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
1,"Marysville vs Sabetha",Football,"Kansas",08/28/2026,07:00 PM,"The Sabetha varsity football team has an away non-conference game @ Marysville (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/marysville-vs-sabetha/8-28-2026/?c=f17fc220-e107-4240-aa32-b1fc5402533e","https://www.maxpreps.com/ks/football/game/marysville-vs-sabetha/8-28-2026/?c=f17fc220-e107-4240-aa32-b1fc5402533e"
2,"Bishop Ward Kansas City vs Hiawatha",Football,"Kansas",08/28/2026,07:00 PM,"The Hiawatha varsity football team has an away non-conference game @ Bishop Ward Kansas City (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/bishop-ward-kansas-city-vs-hiawatha/8-28-2026/?c=bed2b308-49ab-45fb-be14-f9b8d617ce73","https://www.maxpreps.com/ks/football/game/bishop-ward-kansas-city-vs-hiawatha/8-28-2026/?c=bed2b308-49ab-45fb-be14-f9b8d617ce73"
3,"Baldwin vs Bonner Springs",Football,"Kansas",08/28/2026,07:00 PM,"The Bonner Springs varsity football team has an away non-conference game @ Baldwin (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/baldwin-vs-bonner-springs/8-28-2026/?c=82044f2c-40d2-4cd6-9f47-e21af275a5e0","https://www.maxpreps.com/ks/football/game/baldwin-vs-bonner-springs/8-28-2026/?c=82044f2c-40d2-4cd6-9f47-e21af275a5e0"
4,"Columbus vs Parsons",Football,"Kansas",08/28/2026,07:00 PM,"The Parsons varsity football team has an away non-conference game @ Columbus (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/columbus-vs-parsons/8-28-2026/?c=edfc4b69-e18e-4264-a098-fdc6ed06f7fa","https://www.maxpreps.com/ks/football/game/columbus-vs-parsons/8-28-2026/?c=edfc4b69-e18e-4264-a098-fdc6ed06f7fa"
5,"Chaparral Anthony vs Moundridge",Football,"Kansas",08/28/2026,07:00 PM,"The Moundridge varsity football team has an away non-conference game @ Chaparral Anthony (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/chaparral-anthony-vs-moundridge/8-28-2026/?c=171e3a46-02aa-4104-9442-4369d8138b01","https://www.maxpreps.com/ks/football/game/chaparral-anthony-vs-moundridge/8-28-2026/?c=171e3a46-02aa-4104-9442-4369d8138b01"
6,"Life Prep Park City vs Sunrise Christian Academy Bel Aire",Football,"Kansas",08/28/2026,07:00 PM,"The Sunrise Christian Academy Bel Aire varsity football team has an away non-conference game @ Life Prep Park City (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/life-prep-park-city-vs-sunrise-christian-academy-bel-aire/8-28-2026/?c=d27d783d-0ba1-4dc6-bf3f-1488fb5239ea","https://www.maxpreps.com/ks/football/game/life-prep-park-city-vs-sunrise-christian-academy-bel-aire/8-28-2026/?c=d27d783d-0ba1-4dc6-bf3f-1488fb5239ea"
7,"Beloit vs Marysville",Football,"Kansas",08/28/2026,07:00 PM,"The Marysville varsity football team has an away non-conference game @ Beloit (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/beloit-vs-marysville/8-28-2026/?c=7b695f1c-321e-4b11-b742-358a765f6760","https://www.maxpreps.com/ks/football/game/beloit-vs-marysville/8-28-2026/?c=7b695f1c-321e-4b11-b742-358a765f6760"
8,"Lawrence Free State vs Olathe East",Football,"Kansas",08/28/2026,07:00 PM,"The Olathe East varsity football team has an away non-conference game @ Lawrence Free State (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/lawrence-free-state-vs-olathe-east/8-28-2026/?c=d6695d71-d055-452d-beef-083b96f86e7b","https://www.maxpreps.com/ks/football/game/lawrence-free-state-vs-olathe-east/8-28-2026/?c=d6695d71-d055-452d-beef-083b96f86e7b"
9,"Lawrence Free State vs Olathe Northwest",Football,"Kansas",08/28/2026,07:00 PM,"The Olathe Northwest varsity football team has an away non-conference game @ Lawrence Free State (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/lawrence-free-state-vs-olathe-northwest/8-28-2026/?c=6f01aae5-6135-4e34-9c4e-baf106ffe65f","https://www.maxpreps.com/ks/football/game/lawrence-free-state-vs-olathe-northwest/8-28-2026/?c=6f01aae5-6135-4e34-9c4e-baf106ffe65f"
10,"Olathe East vs Olathe Northwest",Football,"Kansas",08/28/2026,07:00 PM,"The Olathe Northwest varsity football team has an away non-conference game @ Olathe East (Kansas) on Thursday, August 27 @ 7p.","/ks/football/game/olathe-east-vs-olathe-northwest/8-28-2026/?c=53da7271-db27-46c5-8726-8ee1342cda43","https://www.maxpreps.com/ks/football/game/olathe-east-vs-olathe-northwest/8-28-2026/?c=53da7271-db27-46c5-8726-8ee1342cda43"
