No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
1,"Grimsley Greensboro vs West Forsyth Clemmons",Football,"North Carolina",08/28/2026,07:00 PM,"The West Forsyth Clemmons varsity football team has an away non-conference game @ Grimsley Greensboro (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/grimsley-greensboro-vs-west-forsyth-clemmons/8-28-2026/?c=900abd76-eb58-4525-87f8-ad39281d3eee","https://www.maxpreps.com/nc/football/game/grimsley-greensboro-vs-west-forsyth-clemmons/8-28-2026/?c=900abd76-eb58-4525-87f8-ad39281d3eee"
2,"Providence Day Charlotte vs Rolesville",Football,"North Carolina",08/28/2026,07:00 PM,"The Rolesville varsity football team has an away non-conference game @ Providence Day Charlotte (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/providence-day-charlotte-vs-rolesville/8-28-2026/?c=020e8eba-afc7-4965-9244-c43e2866d0f7","https://www.maxpreps.com/nc/football/game/providence-day-charlotte-vs-rolesville/8-28-2026/?c=020e8eba-afc7-4965-9244-c43e2866d0f7"
3,"Myers Park Charlotte vs Weddington Matthews",Football,"North Carolina",08/28/2026,07:00 PM,"The Weddington Matthews varsity football team has an away non-conference game @ Myers Park Charlotte (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/myers-park-charlotte-vs-weddington-matthews/8-28-2026/?c=a4de765c-871f-4d2a-8ee1-0b1d53597283","https://www.maxpreps.com/nc/football/game/myers-park-charlotte-vs-weddington-matthews/8-28-2026/?c=a4de765c-871f-4d2a-8ee1-0b1d53597283"
4,"Father Capodanno Vass vs Wayne Preparatory Academy Goldsboro",Football,"North Carolina",08/28/2026,07:00 PM,"The Wayne Preparatory Academy Goldsboro varsity football team has an away non-conference game @ Father Capodanno Vass (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/father-capodanno-vass-vs-wayne-preparatory-academy-goldsboro/8-28-2026/?c=c842f134-3c42-4bf6-a09f-ae5349ae264a","https://www.maxpreps.com/nc/football/game/father-capodanno-vass-vs-wayne-preparatory-academy-goldsboro/8-28-2026/?c=c842f134-3c42-4bf6-a09f-ae5349ae264a"
5,"West Brunswick Shallotte vs Whiteville",Football,"North Carolina",08/28/2026,07:00 PM,"The Whiteville varsity football team has an away non-conference game @ West Brunswick Shallotte (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/west-brunswick-shallotte-vs-whiteville/8-28-2026/?c=7f847d75-d0db-44d1-bfa4-30058082abef","https://www.maxpreps.com/nc/football/game/west-brunswick-shallotte-vs-whiteville/8-28-2026/?c=7f847d75-d0db-44d1-bfa4-30058082abef"
6,"Clayton vs Southern Nash Bailey",Football,"North Carolina",08/28/2026,07:00 PM,"The Southern Nash Bailey varsity football team has an away non-conference game @ Clayton (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/clayton-vs-southern-nash-bailey/8-28-2026/?c=aefea328-0640-4f18-a3d7-f77a440c3859","https://www.maxpreps.com/nc/football/game/clayton-vs-southern-nash-bailey/8-28-2026/?c=aefea328-0640-4f18-a3d7-f77a440c3859"
7,"David W Butler Bulldogs Matthews vs Statesville",Football,"North Carolina",08/28/2026,07:00 PM,"The Statesville varsity football team has an away non-conference game @ David W Butler Bulldogs Matthews (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/david-w-butler-bulldogs-matthews-vs-statesville/8-28-2026/?c=19fe57a1-5d7d-4b2a-9f01-b35ad1003274","https://www.maxpreps.com/nc/football/game/david-w-butler-bulldogs-matthews-vs-statesville/8-28-2026/?c=19fe57a1-5d7d-4b2a-9f01-b35ad1003274"
8,"Langtree Charter Lions Mooresville vs South Rowan China Grove",Football,"North Carolina",08/28/2026,07:00 PM,"The South Rowan China Grove varsity football team has an away non-conference game @ Langtree Charter Lions Mooresville (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/langtree-charter-lions-mooresville-vs-south-rowan-china-grove/8-28-2026/?c=4542cf9f-b865-4dee-b68f-c62067771eac","https://www.maxpreps.com/nc/football/game/langtree-charter-lions-mooresville-vs-south-rowan-china-grove/8-28-2026/?c=4542cf9f-b865-4dee-b68f-c62067771eac"
9,"Apex vs Fuquay Varina",Football,"North Carolina",08/28/2026,07:00 PM,"The Fuquay Varina varsity football team has an away non-conference game @ Apex (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/apex-vs-fuquay-varina/8-28-2026/?c=6d4899d0-2153-4078-9f3c-33d8626d05be","https://www.maxpreps.com/nc/football/game/apex-vs-fuquay-varina/8-28-2026/?c=6d4899d0-2153-4078-9f3c-33d8626d05be"
10,"Kinston vs Wallace Rose Hill Teachey",Football,"North Carolina",08/28/2026,07:00 PM,"The Wallace Rose Hill Teachey varsity football team has an away non-conference game @ Kinston (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/kinston-vs-wallace-rose-hill-teachey/8-28-2026/?c=62839191-1ceb-438f-8ed6-3e09caa74529","https://www.maxpreps.com/nc/football/game/kinston-vs-wallace-rose-hill-teachey/8-28-2026/?c=62839191-1ceb-438f-8ed6-3e09caa74529"
11,"Oak Grove Winston Salem vs Ronald Reagan Raiders Pfafftown",Football,"North Carolina",08/28/2026,07:00 PM,"The Ronald Reagan Raiders Pfafftown varsity football team has an away non-conference game @ Oak Grove Winston Salem (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/oak-grove-winston-salem-vs-ronald-reagan-raiders-pfafftown/8-28-2026/?c=59d4de5d-4cce-484c-b53e-3a7d12c4b04e","https://www.maxpreps.com/nc/football/game/oak-grove-winston-salem-vs-ronald-reagan-raiders-pfafftown/8-28-2026/?c=59d4de5d-4cce-484c-b53e-3a7d12c4b04e"
12,"Hillside Durham vs Panther Creek Cary",Football,"North Carolina",08/28/2026,07:00 PM,"The Panther Creek Cary varsity football team has an away non-conference game @ Hillside Durham (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/hillside-durham-vs-panther-creek-cary/8-28-2026/?c=9af85c37-9b11-48da-88be-5c12c31be765","https://www.maxpreps.com/nc/football/game/hillside-durham-vs-panther-creek-cary/8-28-2026/?c=9af85c37-9b11-48da-88be-5c12c31be765"
13,"Atkins Winston Salem vs Central Davidson Lexington",Football,"North Carolina",08/28/2026,07:00 PM,"The Central Davidson Lexington varsity football team has an away non-conference game @ Atkins Winston Salem (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/atkins-winston-salem-vs-central-davidson-lexington/8-28-2026/?c=d41092cf-05a9-42f6-b4ef-3ca3e4876731","https://www.maxpreps.com/nc/football/game/atkins-winston-salem-vs-central-davidson-lexington/8-28-2026/?c=d41092cf-05a9-42f6-b4ef-3ca3e4876731"
14,"Bertie Windsor vs Martin County Williamston",Football,"North Carolina",08/28/2026,07:00 PM,"The Martin County Williamston varsity football team has an away non-conference game @ Bertie Windsor (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/bertie-windsor-vs-martin-county-williamston/8-28-2026/?c=30142dc3-b416-44ab-ade7-848bd115e4c9","https://www.maxpreps.com/nc/football/game/bertie-windsor-vs-martin-county-williamston/8-28-2026/?c=30142dc3-b416-44ab-ade7-848bd115e4c9"
15,"Eastern Alamance Mebane vs Northeast Guilford Mcleansville",Football,"North Carolina",08/28/2026,07:00 PM,"The Northeast Guilford Mcleansville varsity football team has an away non-conference game @ Eastern Alamance Mebane (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/eastern-alamance-mebane-vs-northeast-guilford-mcleansville/8-28-2026/?c=b4ff5928-ec8f-409b-8419-e4b98982e307","https://www.maxpreps.com/nc/football/game/eastern-alamance-mebane-vs-northeast-guilford-mcleansville/8-28-2026/?c=b4ff5928-ec8f-409b-8419-e4b98982e307"
16,"Community Christian Wilson vs Liberty Christian Academy Richlands",Football,"North Carolina",08/28/2026,07:00 PM,"The Liberty Christian Academy Richlands varsity football team has an away non-conference game @ Community Christian Wilson (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/community-christian-wilson-vs-liberty-christian-academy-richlands/8-28-2026/?c=6ecbc72a-dcbe-486b-8ca9-b8a2e732ad45","https://www.maxpreps.com/nc/football/game/community-christian-wilson-vs-liberty-christian-academy-richlands/8-28-2026/?c=6ecbc72a-dcbe-486b-8ca9-b8a2e732ad45"
17,"Faith Christian Rocky Mount vs Mount Zion Christian Academy Durham",Football,"North Carolina",08/28/2026,07:00 PM,"The Mount Zion Christian Academy Durham varsity football team has an away non-conference game @ Faith Christian Rocky Mount (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/faith-christian-rocky-mount-vs-mount-zion-christian-academy-durham/8-28-2026/?c=5cb6ca55-496b-4636-a6b7-fe2ddccbd62e","https://www.maxpreps.com/nc/football/game/faith-christian-rocky-mount-vs-mount-zion-christian-academy-durham/8-28-2026/?c=5cb6ca55-496b-4636-a6b7-fe2ddccbd62e"
18,"Hunt Wilson vs Tarboro",Football,"North Carolina",08/28/2026,07:00 PM,"The Tarboro varsity football team has an away non-conference game @ Hunt Wilson (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/hunt-wilson-vs-tarboro/8-28-2026/?c=d91d52ca-3275-4239-907f-5d16bb6c30b9","https://www.maxpreps.com/nc/football/game/hunt-wilson-vs-tarboro/8-28-2026/?c=d91d52ca-3275-4239-907f-5d16bb6c30b9"
19,"Arendell Parrott Academy Kinston vs Lawrence Academy Merry Hill",Football,"North Carolina",08/28/2026,07:00 PM,"The Lawrence Academy Merry Hill varsity football team has an away non-conference game @ Arendell Parrott Academy Kinston (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/arendell-parrott-academy-kinston-vs-lawrence-academy-merry-hill/8-28-2026/?c=db9922d7-07bf-405a-b7a1-032de855b200","https://www.maxpreps.com/nc/football/game/arendell-parrott-academy-kinston-vs-lawrence-academy-merry-hill/8-28-2026/?c=db9922d7-07bf-405a-b7a1-032de855b200"
20,"Cape Fear Fayetteville vs Seventy First Fayetteville",Football,"North Carolina",08/28/2026,07:00 PM,"The Seventy First Fayetteville varsity football team has an away non-conference game @ Cape Fear Fayetteville (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/cape-fear-fayetteville-vs-seventy-first-fayetteville/8-28-2026/?c=5f8bc398-c557-4f04-b998-c9bcc7de2114","https://www.maxpreps.com/nc/football/game/cape-fear-fayetteville-vs-seventy-first-fayetteville/8-28-2026/?c=5f8bc398-c557-4f04-b998-c9bcc7de2114"
21,"East Columbus Lake Waccamaw vs Heide Trask Rocky Point",Football,"North Carolina",08/28/2026,07:00 PM,"The Heide Trask Rocky Point varsity football team has an away non-conference game @ East Columbus Lake Waccamaw (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/east-columbus-lake-waccamaw-vs-heide-trask-rocky-point/8-28-2026/?c=33cda1fb-a968-499b-9b76-2efdaca3b266","https://www.maxpreps.com/nc/football/game/east-columbus-lake-waccamaw-vs-heide-trask-rocky-point/8-28-2026/?c=33cda1fb-a968-499b-9b76-2efdaca3b266"
22,"Kipp Pride Gaston vs Roanoke Rapids",Football,"North Carolina",08/28/2026,07:00 PM,"The Roanoke Rapids varsity football team has an away non-conference game @ Kipp Pride Gaston (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/kipp-pride-gaston-vs-roanoke-rapids/8-28-2026/?c=8e634852-6d60-4eaf-8bf8-386326d71985","https://www.maxpreps.com/nc/football/game/kipp-pride-gaston-vs-roanoke-rapids/8-28-2026/?c=8e634852-6d60-4eaf-8bf8-386326d71985"
23,"Mooresville vs Sun Valley Monroe",Football,"North Carolina",08/28/2026,07:00 PM,"The Sun Valley Monroe varsity football team has an away non-conference game @ Mooresville (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/mooresville-vs-sun-valley-monroe/8-28-2026/?c=a491a366-395b-4204-820d-32aec969ffce","https://www.maxpreps.com/nc/football/game/mooresville-vs-sun-valley-monroe/8-28-2026/?c=a491a366-395b-4204-820d-32aec969ffce"
24,"Community School Of Davidson vs South Mecklenburg Charlotte",Football,"North Carolina",08/28/2026,07:00 PM,"The South Mecklenburg Charlotte varsity football team has an away non-conference game @ Community School Of Davidson (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/community-school-of-davidson-vs-south-mecklenburg-charlotte/8-28-2026/?c=a2acd5e8-7765-4baa-8f86-cf26566c2f77","https://www.maxpreps.com/nc/football/game/community-school-of-davidson-vs-south-mecklenburg-charlotte/8-28-2026/?c=a2acd5e8-7765-4baa-8f86-cf26566c2f77"
25,"New Hanover Wilmington vs Purnell Swett Pembroke",Football,"North Carolina",08/28/2026,07:00 PM,"The Purnell Swett Pembroke varsity football team has an away non-conference game @ New Hanover Wilmington (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/new-hanover-wilmington-vs-purnell-swett-pembroke/8-28-2026/?c=b921a659-a542-4a9d-b0a0-273ba9e6069b","https://www.maxpreps.com/nc/football/game/new-hanover-wilmington-vs-purnell-swett-pembroke/8-28-2026/?c=b921a659-a542-4a9d-b0a0-273ba9e6069b"
26,"Southwest Guilford High Point vs Western Alamance Elon",Football,"North Carolina",08/28/2026,07:00 PM,"The Western Alamance Elon varsity football team has an away non-conference game @ Southwest Guilford High Point (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/southwest-guilford-high-point-vs-western-alamance-elon/8-28-2026/?c=a39eb461-9d30-49a4-a1b6-3819cc86187e","https://www.maxpreps.com/nc/football/game/southwest-guilford-high-point-vs-western-alamance-elon/8-28-2026/?c=a39eb461-9d30-49a4-a1b6-3819cc86187e"
27,"North Stanly New London vs West Stanly Oakboro",Football,"North Carolina",08/28/2026,07:00 PM,"The West Stanly Oakboro varsity football team has an away non-conference game @ North Stanly New London (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/north-stanly-new-london-vs-west-stanly-oakboro/8-28-2026/?c=6d397f06-a5e4-454a-9e3b-4d1a6edbe296","https://www.maxpreps.com/nc/football/game/north-stanly-new-london-vs-west-stanly-oakboro/8-28-2026/?c=6d397f06-a5e4-454a-9e3b-4d1a6edbe296"
28,"Cb Aycock Pikeville vs Eastern Wayne Goldsboro",Football,"North Carolina",08/28/2026,07:00 PM,"The Eastern Wayne Goldsboro varsity football team has an away non-conference game @ Cb Aycock Pikeville (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/cb-aycock-pikeville-vs-eastern-wayne-goldsboro/8-28-2026/?c=d88074f2-92e4-434f-a43a-38edcfdc717e","https://www.maxpreps.com/nc/football/game/cb-aycock-pikeville-vs-eastern-wayne-goldsboro/8-28-2026/?c=d88074f2-92e4-434f-a43a-38edcfdc717e"
29,"Central Cabarrus Concord vs Northwest Cabarrus Concord",Football,"North Carolina",08/28/2026,07:00 PM,"The Northwest Cabarrus Concord varsity football team has an away non-conference game @ Central Cabarrus Concord (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/central-cabarrus-concord-vs-northwest-cabarrus-concord/8-28-2026/?c=f5318c34-e34c-44ed-8538-ac8e0bcda721","https://www.maxpreps.com/nc/football/game/central-cabarrus-concord-vs-northwest-cabarrus-concord/8-28-2026/?c=f5318c34-e34c-44ed-8538-ac8e0bcda721"
30,"Ea Laney Buccaneers Wilmington vs Garner",Football,"North Carolina",08/28/2026,07:00 PM,"The Garner varsity football team has an away non-conference game @ Ea Laney Buccaneers Wilmington (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/ea-laney-buccaneers-wilmington-vs-garner/8-28-2026/?c=332b06ea-db4b-424b-ab3d-3c9366b91bb3","https://www.maxpreps.com/nc/football/game/ea-laney-buccaneers-wilmington-vs-garner/8-28-2026/?c=332b06ea-db4b-424b-ab3d-3c9366b91bb3"
31,"Bessemer City vs Huss Gastonia",Football,"North Carolina",08/28/2026,07:00 PM,"The Huss Gastonia varsity football team has an away non-conference game @ Bessemer City (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/bessemer-city-vs-huss-gastonia/8-28-2026/?c=65f796ea-6d99-49da-b50a-8a78a992715e","https://www.maxpreps.com/nc/football/game/bessemer-city-vs-huss-gastonia/8-28-2026/?c=65f796ea-6d99-49da-b50a-8a78a992715e"
32,"Hertford County Ahoskie vs Southwest Edgecombe Pinetops",Football,"North Carolina",08/28/2026,07:00 PM,"The Southwest Edgecombe Pinetops varsity football team has an away non-conference game @ Hertford County Ahoskie (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/hertford-county-ahoskie-vs-southwest-edgecombe-pinetops/8-28-2026/?c=a6c7ebca-ef8b-4254-96c0-40bd82f03e57","https://www.maxpreps.com/nc/football/game/hertford-county-ahoskie-vs-southwest-edgecombe-pinetops/8-28-2026/?c=a6c7ebca-ef8b-4254-96c0-40bd82f03e57"
33,"Chatham Central Bear Creek vs Jordan Matthews Siler City",Football,"North Carolina",08/28/2026,07:00 PM,"The Jordan Matthews Siler City varsity football team has an away non-conference game @ Chatham Central Bear Creek (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/chatham-central-bear-creek-vs-jordan-matthews-siler-city/8-28-2026/?c=5068e0c8-2fba-4646-a0e6-8c87703aa1a0","https://www.maxpreps.com/nc/football/game/chatham-central-bear-creek-vs-jordan-matthews-siler-city/8-28-2026/?c=5068e0c8-2fba-4646-a0e6-8c87703aa1a0"
34,"Ardrey Kell Charlotte vs Porter Ridge Indian Trail",Football,"North Carolina",08/28/2026,07:00 PM,"The Porter Ridge Indian Trail varsity football team has an away non-conference game @ Ardrey Kell Charlotte (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/ardrey-kell-charlotte-vs-porter-ridge-indian-trail/8-28-2026/?c=2f8d58b2-cee2-4ac8-a2d2-22afdb42bc51","https://www.maxpreps.com/nc/football/game/ardrey-kell-charlotte-vs-porter-ridge-indian-trail/8-28-2026/?c=2f8d58b2-cee2-4ac8-a2d2-22afdb42bc51"
