No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
1,"Allen vs Duncanville Panthers And Pantherettes",Football,"Texas",08/28/2026,07:00 PM,"The Duncanville Panthers And Pantherettes varsity football team has an away non-conference game @ Allen (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/allen-vs-duncanville-panthers-and-pantherettes/8-28-2026/?c=d8398537-8e3f-41f6-91ef-caa6013687b6","https://www.maxpreps.com/tx/football/game/allen-vs-duncanville-panthers-and-pantherettes/8-28-2026/?c=d8398537-8e3f-41f6-91ef-caa6013687b6"
2,"Lancaster vs North Shore Houston",Football,"Texas",08/28/2026,07:00 PM,"The North Shore Houston varsity football team has an away non-conference game @ Lancaster (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/lancaster-vs-north-shore-houston/8-28-2026/?c=048754cc-d3d7-4ca9-895c-59ff4c04816a","https://www.maxpreps.com/tx/football/game/lancaster-vs-north-shore-houston/8-28-2026/?c=048754cc-d3d7-4ca9-895c-59ff4c04816a"
3,"Randle Richmond vs South Oak Cliff Dallas",Football,"Texas",08/28/2026,07:00 PM,"The South Oak Cliff Dallas varsity football team has an away non-conference game @ Randle Richmond (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/randle-richmond-vs-south-oak-cliff-dallas/8-28-2026/?c=35a1b95f-4e00-4629-8579-c699aef3837c","https://www.maxpreps.com/tx/football/game/randle-richmond-vs-south-oak-cliff-dallas/8-28-2026/?c=35a1b95f-4e00-4629-8579-c699aef3837c"
4,"Hill Country Christian San Marcos vs New Braunfels Thunder",Football,"Texas",08/28/2026,07:00 PM,"The New Braunfels Thunder varsity football team has an away non-conference game @ Hill Country Christian San Marcos (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/hill-country-christian-san-marcos-vs-new-braunfels-thunder/8-28-2026/?c=e8944d5c-da2a-4885-970f-7b2b4b18c693","https://www.maxpreps.com/tx/football/game/hill-country-christian-san-marcos-vs-new-braunfels-thunder/8-28-2026/?c=e8944d5c-da2a-4885-970f-7b2b4b18c693"
5,"Prairie Lea vs Valor Kyle",Football,"Texas",08/28/2026,07:00 PM,"The Valor Kyle varsity football team has an away non-conference game @ Prairie Lea (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/prairie-lea-vs-valor-kyle/8-28-2026/?c=f0255ae0-9009-42f5-a1a0-e43970d6a17b","https://www.maxpreps.com/tx/football/game/prairie-lea-vs-valor-kyle/8-28-2026/?c=f0255ae0-9009-42f5-a1a0-e43970d6a17b"
6,"Langham Creek Houston vs Paetow Katy",Football,"Texas",08/28/2026,07:00 PM,"The Paetow Katy varsity football team has an away non-conference game @ Langham Creek Houston (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/langham-creek-houston-vs-paetow-katy/8-28-2026/?c=b4f0da39-f6e0-483e-b206-d44b8025c8fc","https://www.maxpreps.com/tx/football/game/langham-creek-houston-vs-paetow-katy/8-28-2026/?c=b4f0da39-f6e0-483e-b206-d44b8025c8fc"
7,"Alvarado vs Joshua",Football,"Texas",08/28/2026,07:00 PM,"The Joshua varsity football team has an away non-conference game @ Alvarado (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/alvarado-vs-joshua/8-28-2026/?c=32d7e227-d417-49aa-9f74-e6ddeb658cfa","https://www.maxpreps.com/tx/football/game/alvarado-vs-joshua/8-28-2026/?c=32d7e227-d417-49aa-9f74-e6ddeb658cfa"
8,"Aledo vs North Crowley Fort Worth",Football,"Texas",08/28/2026,07:00 PM,"The North Crowley Fort Worth varsity football team has an away non-conference game @ Aledo (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/aledo-vs-north-crowley-fort-worth/8-28-2026/?c=1a6a9527-cfb7-4f36-a6e2-842b23fa0fa7","https://www.maxpreps.com/tx/football/game/aledo-vs-north-crowley-fort-worth/8-28-2026/?c=1a6a9527-cfb7-4f36-a6e2-842b23fa0fa7"
9,"Brewer Fort Worth vs Haltom Haltom City",Football,"Texas",08/28/2026,07:00 PM,"The Haltom Haltom City varsity football team has an away non-conference game @ Brewer Fort Worth (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/brewer-fort-worth-vs-haltom-haltom-city/8-28-2026/?c=0df15fb1-5f9d-43f3-98e6-f51e71ca6ba9","https://www.maxpreps.com/tx/football/game/brewer-fort-worth-vs-haltom-haltom-city/8-28-2026/?c=0df15fb1-5f9d-43f3-98e6-f51e71ca6ba9"
10,"Newton vs West Orange Stark",Football,"Texas",08/28/2026,07:00 PM,"The West Orange Stark varsity football team has an away non-conference game @ Newton (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/newton-vs-west-orange-stark/8-28-2026/?c=ac29cbb7-32e0-4f35-bd43-f0ecf2624488","https://www.maxpreps.com/tx/football/game/newton-vs-west-orange-stark/8-28-2026/?c=ac29cbb7-32e0-4f35-bd43-f0ecf2624488"
